Шаг №  1 	 В момент времени:  11 	 0  ->  1 	За время 0.01 	 Вероятности [1. 0.] 
Шаг №  2 	 В момент времени:  2418 	 1  ->  1 	За время 2.407 	 Вероятности [0.8 0.2] 
Шаг №  3 	 В момент времени:  2446 	 1  ->  1 	За время 0.029 	 Вероятности [0.8 0.2] 
Шаг №  4 	 В момент времени:  2739 	 1  ->  1 	За время 0.294 	 Вероятности [0.8 0.2] 
Шаг №  5 	 В момент времени:  3371 	 1  ->  2 	За время 0.632 	 Вероятности [0.8 0.2] 
Шаг №  6 	 В момент времени:  3487 	 2  ->  2 	За время 0.116 	 Вероятности [0.5 0.5] 
Шаг №  7 	 В момент времени:  3703 	 2  ->  2 	За время 0.217 	 Вероятности [0.5 0.5] 
Шаг №  8 	 В момент времени:  5168 	 2  ->  1 	За время 1.466 	 Вероятности [0.5 0.5] 
Шаг №  9 	 В момент времени:  5686 	 1  ->  1 	За время 0.518 	 Вероятности [0.8 0.2] 
Шаг №  10 	 В момент времени:  6692 	 1  ->  1 	За время 1.007 	 Вероятности [0.8 0.2] 
Шаг №  11 	 В момент времени:  6759 	 1  ->  2 	За время 0.067 	 Вероятности [0.8 0.2] 
Шаг №  12 	 В момент времени:  8794 	 2  ->  1 	За время 2.035 	 Вероятности [0.5 0.5] 
Шаг №  13 	 В момент времени:  9818 	 1  ->  1 	За время 1.025 	 Вероятности [0.8 0.2] 
Шаг №  14 	 В момент времени:  10348 	 1  ->  1 	За время 0.53 	 Вероятности [0.8 0.2] 
Шаг №  15 	 В момент времени:  11191 	 1  ->  2 	За время 0.844 	 Вероятности [0.8 0.2] 
Шаг №  16 	 В момент времени:  12265 	 2  ->  1 	За время 1.074 	 Вероятности [0.5 0.5] 
Шаг №  17 	 В момент времени:  13324 	 1  ->  1 	За время 1.06 	 Вероятности [0.8 0.2] 
Шаг №  18 	 В момент времени:  13577 	 1  ->  1 	За время 0.254 	 Вероятности [0.8 0.2] 
Шаг №  19 	 В момент времени:  18858 	 1  ->  1 	За время 5.281 	 Вероятности [0.8 0.2] 
Шаг №  20 	 В момент времени:  19970 	 1  ->  1 	За время 1.112 	 Вероятности [0.8 0.2] 
Шаг №  21 	 В момент времени:  20344 	 1  ->  1 	За время 0.374 	 Вероятности [0.8 0.2] 
Шаг №  22 	 В момент времени:  23991 	 1  ->  1 	За время 3.648 	 Вероятности [0.8 0.2] 
Шаг №  23 	 В момент времени:  24317 	 1  ->  1 	За время 0.327 	 Вероятности [0.8 0.2] 
Шаг №  24 	 В момент времени:  24414 	 1  ->  1 	За время 0.098 	 Вероятности [0.8 0.2] 
Шаг №  25 	 В момент времени:  25702 	 1  ->  1 	За время 1.289 	 Вероятности [0.8 0.2] 
Шаг №  26 	 В момент времени:  27174 	 1  ->  1 	За время 1.473 	 Вероятности [0.8 0.2] 
Шаг №  27 	 В момент времени:  30420 	 1  ->  1 	За время 3.247 	 Вероятности [0.8 0.2] 
Шаг №  28 	 В момент времени:  30933 	 1  ->  1 	За время 0.514 	 Вероятности [0.8 0.2] 
Шаг №  29 	 В момент времени:  31639 	 1  ->  1 	За время 0.706 	 Вероятности [0.8 0.2] 
Шаг №  30 	 В момент времени:  32240 	 1  ->  1 	За время 0.601 	 Вероятности [0.8 0.2] 
Шаг №  31 	 В момент времени:  33210 	 1  ->  2 	За время 0.971 	 Вероятности [0.8 0.2] 
Шаг №  32 	 В момент времени:  33768 	 2  ->  2 	За время 0.558 	 Вероятности [0.5 0.5] 
Шаг №  33 	 В момент времени:  37057 	 2  ->  1 	За время 3.29 	 Вероятности [0.5 0.5] 
Шаг №  34 	 В момент времени:  37390 	 1  ->  1 	За время 0.334 	 Вероятности [0.8 0.2] 
Шаг №  35 	 В момент времени:  38524 	 1  ->  1 	За время 1.135 	 Вероятности [0.8 0.2] 
Шаг №  36 	 В момент времени:  40387 	 1  ->  1 	За время 1.863 	 Вероятности [0.8 0.2] 
Шаг №  37 	 В момент времени:  41220 	 1  ->  1 	За время 0.833 	 Вероятности [0.8 0.2] 
Шаг №  38 	 В момент времени:  42191 	 1  ->  2 	За время 0.971 	 Вероятности [0.8 0.2] 
Шаг №  39 	 В момент времени:  42264 	 2  ->  2 	За время 0.073 	 Вероятности [0.5 0.5] 
Шаг №  40 	 В момент времени:  42269 	 2  ->  1 	За время 0.006 	 Вероятности [0.5 0.5] 
Шаг №  41 	 В момент времени:  42572 	 1  ->  1 	За время 0.304 	 Вероятности [0.8 0.2] 
Шаг №  42 	 В момент времени:  42830 	 1  ->  1 	За время 0.258 	 Вероятности [0.8 0.2] 
Шаг №  43 	 В момент времени:  45153 	 1  ->  1 	За время 2.324 	 Вероятности [0.8 0.2] 
Шаг №  44 	 В момент времени:  46145 	 1  ->  1 	За время 0.992 	 Вероятности [0.8 0.2] 
Шаг №  45 	 В момент времени:  46351 	 1  ->  1 	За время 0.207 	 Вероятности [0.8 0.2] 
Шаг №  46 	 В момент времени:  46765 	 1  ->  1 	За время 0.414 	 Вероятности [0.8 0.2] 
Шаг №  47 	 В момент времени:  47042 	 1  ->  2 	За время 0.277 	 Вероятности [0.8 0.2] 
Шаг №  48 	 В момент времени:  47131 	 2  ->  2 	За время 0.089 	 Вероятности [0.5 0.5] 
